grb-sn,sep(arcsec),gra,gdec,ghost,gz,sra,sdec,stype,shost,s
130427A-SN2013cq,5.007491179030081,11:32:32.63,27:41:51.7,Irregular galaxy; with a broadly elliptical shape (William Herschel).,0.34 (Gemini-North: absorption)|0.338 (NOT: absorption)|0.3399 (VLT: absorption)|0.340 (LBT: absorption)| 0.3399 (William Herschel: emission, host)| 0.3393 (BTA),11:32:32.81,+27:41:56.1,Ic BL,A113232+2741,0.3399
130215A-SN2013ez,0.962590114824263,2.8990666666666667,13.387,nan,0.597 (Lick Shane: absorption)|0.58 (GTC: derived),02:53:56.70,+13:23:13.6,Ic BL,A025400+1323,0.597,0.597
120714B-SN2012eb,0.0,23.694133333333333,-46.196,nan,0.3984 (VLT: absorption),23:41:38.88,-46:11:45.6,Ib/c,A234138-4611,0.3984
120422A-SN2012bz,1.6089983964315493,09:07:38.42,14:01:06.0,nan,0.28 (Gemini-North: emission)|0.283 (VLT: emission),09:07:38.38,+14:01:07.5,Ic BL,A090738+1401,0.283
120302A-CSS120302:080936+293741,1.7672526695295976,08:09:35.43,29:37:40.1,nan,nan,08:09:35.56,+29:37:40.6,,,
111209A-SN2011kl,0.14332902460531413,00:57:22.63,-46:48:03.7,nan,0.677 (arXiv:1302.2352v1)|0.677 (VLT: absorption),00:57:22.64,-46:48:03.6,SLSN,A005722-4648,0.677,0.677
101219B-SN2010ma,1.248039436591846,00:48:55.42,-34:34:00.4,UVW2 = 23.4 (Swift-UVOT: likely host),0.5519 (ESO-VLT: tentative redshift),00:48:55.35,-34:33:59.5,Ic BL,A004855-3433,0.55185
100316D-SN2010bh,9.761659779857077,07:10:30.63,-56:15:19.7,nan,0.014,07:10:31.8,-56:15:20.2,Ic BL,A071031-5615,0.0593
091127-SN2009nz,0.911112848682356,02:26:19.91,-18:57:08.1,nan,0.490 (Gemini-North: emission)|0.49034 (VLT: emission),02:26:19.9,-18:57:09,Ic BL,A022619-1857,0.49,0.49
081007-SN2008hw,1.1466816042668213,22:39:50.48,-40:08:49.6,nan,0.5295 (Gemini-South: absorption),22:39:50.39,-40:08:49.1,Ic,A223950-4008,0.53,0.53
061218-SN2017imw,132.54665629198038,9.950666666666667,-35.217,nan,nan,09:57:04.590,-35:10:51.40,Ia,,0.035
060218-SN2006aj,0.7289190177975656,03:21:39.69,16:52:01.6,SDSS (possible host),0.0331 (MDM: emission)|0.033 (VLT: emission)|0.033 (Gemini: emission)|0.033 (BTA: emission)|0.033 (Keck I: emission),03:21:39.670,+16:52:02.27,Ic BL,A032139+1652,0.033023
050525A-SN2005nc,1.5696252024126338,18:32:32.67,26:20:21.6,nan,0.606 (GMOS: emission),18:32:32.580,+26:20:22.60,Ic,A183232+2620,0.606,0.61,0.606,0.61
